Gen	tau_4MEFEOG	tau_5MEFE	lnL
181030	0.023755	0.023683	-347122.668
181040	0.024345	0.024257	-347083.346
181050	0.023737	0.023688	-347084.083
181060	0.024686	0.024608	-347078.634
181070	0.024603	0.024519	-347095.939
181080	0.024544	0.024425	-347060.573
181090	0.024214	0.024082	-347086.887
181100	0.024667	0.024591	-347074.192
181110	0.024524	0.024487	-347074.901
181120	0.024629	0.024569	-347066.569
181130	0.024491	0.024414	-347071.926
181140	0.024911	0.024840	-347073.082
181150	0.024729	0.024691	-347096.660
181160	0.024411	0.024318	-347083.420
181170	0.024357	0.024264	-347082.390
181180	0.023962	0.023875	-347082.760
181190	0.024408	0.024357	-347115.938
181200	0.024372	0.024261	-347060.579
181210	0.024120	0.024066	-347054.850
181220	0.024187	0.024152	-347062.953
181230	0.024198	0.024174	-347108.293
181240	0.023687	0.023590	-347060.059
181250	0.023653	0.023546	-347070.255
181260	0.023604	0.023520	-347054.732
181270	0.023595	0.023502	-347056.951
181280	0.024111	0.024076	-347066.843
181290	0.023793	0.023728	-347092.703
181300	0.023890	0.023845	-347090.400
181310	0.023885	0.023836	-347089.214
181320	0.023623	0.023612	-347081.014
181330	0.023492	0.023456	-347058.365
181340	0.023459	0.023390	-347061.633
181350	0.023247	0.023203	-347092.648
181360	0.023590	0.023509	-347087.161
181370	0.023248	0.023120	-347087.905
181380	0.023596	0.023512	-347070.060
181390	0.023178	0.023073	-347063.712
181400	0.023565	0.023489	-347065.589
181410	0.023890	0.023799	-347073.259
181420	0.023447	0.023388	-347055.558
181430	0.023992	0.023932	-347056.092
181440	0.023767	0.023747	-347104.784
181450	0.023857	0.023829	-347094.537
181460	0.023705	0.023677	-347055.348
181470	0.023693	0.023655	-347058.073
181480	0.023693	0.023641	-347070.878
181490	0.023964	0.023928	-347068.650
181500	0.024608	0.024589	-347061.048
181510	0.024273	0.024245	-347061.293
181520	0.024078	0.024059	-347079.292
181530	0.023983	0.023940	-347078.202
181540	0.023972	0.023913	-347066.049
181550	0.023978	0.023939	-347060.544
181560	0.023998	0.023974	-347093.365
181570	0.024105	0.024052	-347061.211
181580	0.023727	0.023687	-347073.198
181590	0.024424	0.024393	-347065.785
181600	0.024306	0.024274	-347078.318
181610	0.023848	0.023819	-347070.047
181620	0.023716	0.023677	-347059.255
181630	0.023232	0.023172	-347096.855
181640	0.023998	0.023943	-347077.879
181650	0.023736	0.023692	-347074.161
181660	0.023701	0.023670	-347078.279
181670	0.024078	0.024047	-347065.017
181680	0.023740	0.023642	-347058.890
181690	0.024109	0.023957	-347081.126
181700	0.023910	0.023777	-347086.421
181710	0.023957	0.023809	-347094.624
181720	0.024077	0.023925	-347080.748
181730	0.024290	0.024139	-347065.585
181740	0.024589	0.024406	-347066.139
181750	0.024567	0.024416	-347078.624
181760	0.024479	0.024403	-347073.367
181770	0.024117	0.024080	-347062.154
181780	0.024349	0.024288	-347090.027
181790	0.024580	0.024461	-347073.897
181800	0.024358	0.024236	-347074.880
181810	0.024204	0.024067	-347063.944
181820	0.024469	0.024301	-347053.636
181830	0.024078	0.023925	-347103.989
181840	0.024273	0.024077	-347088.277
181850	0.024081	0.023863	-347066.972
181860	0.024078	0.023863	-347074.973
181870	0.023544	0.023381	-347065.577
181880	0.023744	0.023560	-347076.653
181890	0.023380	0.023218	-347070.229
181900	0.023573	0.023382	-347075.690
181910	0.023001	0.022857	-347086.452
181920	0.023219	0.023092	-347082.402
181930	0.023500	0.023392	-347065.072
181940	0.023302	0.023199	-347068.023
181950	0.023404	0.023282	-347098.474
181960	0.023607	0.023479	-347114.456
181970	0.024301	0.024124	-347056.183
181980	0.024213	0.024015	-347081.402
181990	0.024365	0.024154	-347070.185
182000	0.023801	0.023551	-347076.562
182010	0.024001	0.023808	-347095.162
182020	0.023208	0.022933	-347104.287
182030	0.023790	0.023595	-347058.777
182040	0.023085	0.022856	-347056.037
182050	0.023502	0.023262	-347068.695
182060	0.023400	0.023119	-347092.145
182070	0.023219	0.022917	-347091.298
182080	0.024002	0.023655	-347057.471
182090	0.024477	0.024107	-347048.313
182100	0.024136	0.023820	-347067.705
182110	0.023848	0.023493	-347066.107
182120	0.023575	0.023231	-347076.726
182130	0.023650	0.023393	-347060.721
182140	0.024108	0.023816	-347079.623
182150	0.023545	0.023288	-347079.032
182160	0.024053	0.023730	-347091.593
182170	0.024114	0.023797	-347088.404
182180	0.023665	0.023377	-347063.830
182190	0.024068	0.023834	-347072.794
182200	0.024454	0.024154	-347099.241
182210	0.024210	0.023898	-347079.343
182220	0.024400	0.024108	-347079.050
182230	0.024047	0.023770	-347065.823
182240	0.023791	0.023479	-347081.511
182250	0.024356	0.024071	-347085.293
182260	0.023927	0.023702	-347075.479
182270	0.024691	0.024488	-347085.623
182280	0.023845	0.023643	-347072.737
182290	0.024080	0.023894	-347078.034
182300	0.024646	0.024516	-347091.545
182310	0.024386	0.024284	-347070.874
182320	0.024177	0.024087	-347074.429
182330	0.024709	0.024614	-347116.227
182340	0.024884	0.024869	-347082.926
182350	0.024948	0.024863	-347075.747
182360	0.024405	0.024285	-347067.239
182370	0.024598	0.024437	-347075.719
182380	0.024564	0.024492	-347106.953
182390	0.024741	0.024725	-347060.898
