Gen	tau_3OneOG	lnL
6500	0.032253	-404817.354
6510	0.036633	-414513.733
6520	0.043814	-411268.663
6530	0.047926	-418346.539
6540	0.029976	-399604.692
6550	0.021915	-404736.687
6560	0.046099	-399323.906
6570	0.030235	-416488.298
6580	0.025573	-398096.287
6590	0.008286	-456553.109
6600	0.018881	-411672.426
6610	0.022301	-420857.687
6620	0.014449	-434002.624
6630	0.021872	-418644.681
6640	0.018211	-425551.599
6650	0.026588	-411359.594
6660	0.024966	-401631.710
6670	0.056510	-412361.865
6680	0.024444	-432876.860
6690	0.027853	-424536.088
6700	0.022171	-410882.216
6710	0.029068	-407538.080
6720	0.019999	-412455.296
6730	0.030613	-396086.136
6740	0.029111	-399281.352
6750	0.029304	-410522.568
6760	0.029193	-409844.300
6770	0.037482	-424018.628
6780	0.034639	-433417.498
6790	0.017316	-434709.561
6800	0.031482	-420191.425
6810	0.051230	-431616.663
6820	0.041243	-408801.599
6830	0.037662	-413922.356
6840	0.044022	-424695.546
6850	0.025457	-426433.141
6860	0.028092	-423364.194
6870	0.054988	-420535.219
6880	0.058165	-419138.434
6890	0.044382	-406683.307
6900	0.035267	-408207.643
6910	0.030388	-409437.345
6920	0.041192	-404896.451
6930	0.027039	-404460.680
6940	0.061907	-424066.115
6950	0.051058	-403742.677
6960	0.029284	-433282.697
6970	0.046304	-413879.941
6980	0.026780	-403818.013
6990	0.042332	-425236.758
7000	0.028156	-417582.639
7010	0.037272	-430517.158
7020	0.022954	-428477.654
7030	0.041032	-446920.408
7040	0.033682	-412038.105
7050	0.036744	-403183.653
7060	0.044304	-408400.447
7070	0.042592	-403809.252
7080	0.036376	-414247.333
7090	0.019173	-432973.786
7100	0.026733	-425773.758
7110	0.041076	-404180.746
7120	0.054394	-409525.777
7130	0.030089	-434092.858
7140	0.036242	-411610.641
7150	0.023293	-420203.892
7160	0.039248	-419338.179
7170	0.018200	-430606.799
7180	0.025310	-421461.068
7190	0.027287	-418933.166
7200	0.037638	-403203.495
7210	0.042494	-405168.782
7220	0.035372	-413478.175
7230	0.035451	-413335.939
7240	0.070673	-405512.767
7250	0.045606	-400915.810
7260	0.032217	-405271.768
7270	0.037494	-417990.324
7280	0.024099	-420931.621
7290	0.025863	-410742.971
7300	0.023053	-421625.693
7310	0.026387	-413076.078
7320	0.025217	-421674.001
7330	0.014656	-450984.090
7340	0.021882	-433126.214
7350	0.036851	-409017.536
7360	0.022294	-414964.814
7370	0.023887	-422028.398
7380	0.034842	-393482.047
7390	0.018476	-415424.344
7400	0.023633	-405585.581
7410	0.023014	-416012.924
7420	0.029255	-420396.769
7430	0.011909	-443210.945
7440	0.028428	-409556.358
7450	0.023712	-424667.526
7460	0.011805	-444574.243
7470	0.022510	-407875.692
7480	0.026738	-432681.632
7490	0.026800	-403162.275
7500	0.029983	-407918.626
7510	0.015340	-434973.247
7520	0.041754	-406663.560
7530	0.015574	-417973.242
7540	0.010898	-422267.909
7550	0.024894	-414615.424
7560	0.015678	-427794.574
7570	0.013132	-421801.876
7580	0.015304	-430850.789
7590	0.021810	-421042.712
7600	0.010492	-465080.821
7610	0.021627	-421420.119
7620	0.015293	-445690.072
7630	0.022448	-410984.142
7640	0.024737	-413275.289
7650	0.049388	-399412.138
7660	0.026481	-423209.832
7670	0.041046	-395125.407
7680	0.024294	-423058.447
7690	0.019307	-418256.609
7700	0.061453	-399941.722
7710	0.058283	-407494.768
7720	0.022020	-455752.105
7730	0.042936	-415753.350
7740	0.054860	-410752.035
7750	0.037388	-425458.603
7760	0.039792	-424322.921
7770	0.034919	-431922.597
7780	0.077846	-429578.394
7790	0.043533	-417574.638
7800	0.028818	-437107.442
7810	0.041503	-415187.911
7820	0.020659	-463696.295
7830	0.025130	-423238.294
7840	0.025289	-435540.678
7850	0.069174	-401546.804
7860	0.042279	-431199.565
7870	0.061200	-411988.383
7880	0.038754	-415740.919
7890	0.028464	-417651.161
7900	0.032831	-436453.568
7910	0.016464	-441666.780
7920	0.032468	-407762.768
7930	0.025225	-430640.428
7940	0.025452	-408464.242
7950	0.035245	-417111.549
7960	0.051796	-410333.053
7970	0.028993	-421476.282
7980	0.038769	-400900.699
7990	0.021323	-408009.241
8000	0.023330	-411182.575
8010	0.029822	-396960.206
8020	0.030978	-415086.493
8030	0.027206	-407578.639
8040	0.026962	-417488.985
8050	0.019193	-427649.886
8060	0.039893	-417667.395
8070	0.016958	-417684.222
8080	0.032174	-399041.663
8090	0.022338	-418996.112
8100	0.027544	-422837.330
8110	0.020736	-424313.191
8120	0.023135	-413205.051
8130	0.036694	-394484.574
8140	0.038922	-405020.357
8150	0.026754	-422277.661
8160	0.040918	-429833.309
8170	0.036655	-413639.923
8180	0.019084	-443381.952
8190	0.048205	-408369.695
8200	0.024495	-410987.206
8210	0.021452	-413269.969
8220	0.011915	-435112.936
8230	0.028075	-414868.861
8240	0.016000	-437314.805
8250	0.034434	-426253.950
8260	0.023980	-407515.835
8270	0.014373	-430375.456
8280	0.025087	-418040.996
8290	0.018507	-411302.416
8300	0.018507	-419102.262
8310	0.017765	-434204.844
8320	0.014530	-444703.219
8330	0.027829	-419000.466
8340	0.036897	-412045.531
8350	0.023775	-415843.240
8360	0.015992	-454058.379
8370	0.046118	-411372.188
8380	0.037061	-431421.559
8390	0.028785	-450250.502
8400	0.011785	-462626.561
8410	0.058182	-426785.979
8420	0.045764	-422310.630
8430	0.047018	-421207.366
8440	0.052592	-431528.559
8450	0.052072	-421082.041
8460	0.089495	-426871.815
8470	0.047215	-464071.513
8480	0.051768	-443591.640
8490	0.053081	-423088.804
8500	0.048654	-418933.715
8510	0.046708	-424666.615
8520	0.056855	-414084.504
8530	0.057912	-424036.914
8540	0.061403	-429424.012
8550	0.027668	-432155.303
8560	0.027185	-441651.787
8570	0.036875	-446812.053
8580	0.064156	-403089.284
8590	0.062431	-410016.676
8600	0.055507	-424613.725
8610	0.051211	-430086.227
8620	0.084874	-422148.648
8630	0.034540	-442796.820
8640	0.041342	-412462.341
8650	0.051090	-401581.902
8660	0.055927	-419086.422
8670	0.035641	-401127.219
8680	0.033800	-419240.659
8690	0.022557	-429211.257
8700	0.032209	-422689.124
8710	0.034079	-398879.133
8720	0.019616	-412304.954
8730	0.039284	-395839.936
8740	0.024963	-415130.319
8750	0.025112	-412680.909
8760	0.022829	-442536.781
8770	0.033932	-413123.695
8780	0.022309	-417828.338
8790	0.017998	-432073.704
8800	0.017686	-431706.709
8810	0.035675	-392871.516
8820	0.028956	-395404.036
8830	0.027419	-422559.652
8840	0.019931	-413680.214
8850	0.020652	-419851.566
8860	0.027412	-399270.552
8870	0.016412	-437803.181
8880	0.020160	-405996.786
8890	0.027528	-410573.345
