Gen	tau_3OneOG	lnL
7950	0.021203	-347072.910
7960	0.021332	-347090.270
7970	0.021400	-347070.828
7980	0.021329	-347068.895
7990	0.021425	-347058.536
8000	0.021608	-347084.164
8010	0.021598	-347056.302
8020	0.021511	-347055.961
8030	0.021853	-347066.402
8040	0.021701	-347073.195
8050	0.021409	-347071.150
8060	0.021190	-347063.619
8070	0.021596	-347078.231
8080	0.021575	-347058.386
8090	0.021522	-347086.791
8100	0.021358	-347080.072
8110	0.021467	-347070.695
8120	0.021323	-347065.428
8130	0.021659	-347064.650
8140	0.021365	-347061.930
8150	0.021405	-347061.316
8160	0.021504	-347073.516
8170	0.021087	-347079.707
8180	0.021298	-347067.589
8190	0.021298	-347057.227
8200	0.021009	-347067.892
8210	0.021387	-347076.805
8220	0.021255	-347063.990
8230	0.021214	-347077.851
8240	0.021301	-347065.894
8250	0.021237	-347068.201
8260	0.021291	-347064.937
8270	0.021571	-347074.961
8280	0.021946	-347069.626
8290	0.021940	-347064.363
8300	0.021768	-347057.164
8310	0.021676	-347081.845
8320	0.021778	-347062.933
8330	0.021663	-347060.250
8340	0.021504	-347073.454
8350	0.021779	-347060.727
8360	0.021696	-347080.145
8370	0.021678	-347073.932
8380	0.021603	-347067.511
8390	0.021656	-347065.249
8400	0.021606	-347064.116
8410	0.021636	-347077.755
8420	0.021689	-347075.651
8430	0.021952	-347060.764
8440	0.021763	-347063.325
8450	0.021804	-347064.396
8460	0.021865	-347076.280
8470	0.021333	-347076.571
8480	0.021614	-347083.375
8490	0.021826	-347068.037
8500	0.021507	-347071.837
8510	0.021671	-347065.048
8520	0.021935	-347070.333
8530	0.021856	-347071.736
8540	0.022275	-347082.855
8550	0.022054	-347067.787
8560	0.022110	-347058.399
8570	0.022112	-347062.673
8580	0.021912	-347077.659
8590	0.021856	-347069.501
8600	0.022265	-347075.633
8610	0.021950	-347066.287
8620	0.021716	-347071.653
8630	0.021490	-347071.697
8640	0.021490	-347062.216
8650	0.021545	-347058.968
8660	0.021367	-347066.228
8670	0.021301	-347064.309
8680	0.021226	-347078.317
8690	0.021320	-347074.509
8700	0.021214	-347070.688
8710	0.021695	-347078.468
8720	0.021649	-347076.325
8730	0.021664	-347067.857
8740	0.021703	-347063.406
8750	0.021854	-347076.387
8760	0.021807	-347072.499
8770	0.021799	-347066.888
8780	0.021377	-347059.783
8790	0.021110	-347069.503
8800	0.021229	-347072.346
8810	0.021368	-347085.357
8820	0.021277	-347075.633
8830	0.021206	-347082.885
8840	0.021520	-347072.079
8850	0.021749	-347056.061
8860	0.021568	-347057.797
8870	0.021499	-347089.761
8880	0.021945	-347056.579
8890	0.022150	-347071.469
8900	0.021641	-347071.746
8910	0.021831	-347059.083
8920	0.021982	-347077.247
8930	0.022016	-347064.533
8940	0.021948	-347064.850
8950	0.021742	-347078.119
8960	0.021903	-347066.111
8970	0.022082	-347071.719
8980	0.021754	-347067.954
8990	0.021783	-347063.365
9000	0.022054	-347055.034
9010	0.021790	-347070.868
9020	0.021790	-347070.444
9030	0.021863	-347068.144
9040	0.021833	-347066.604
9050	0.021915	-347069.483
9060	0.021500	-347060.272
9070	0.021559	-347074.041
9080	0.021248	-347056.288
9090	0.021432	-347053.019
9100	0.021688	-347078.712
9110	0.021407	-347061.102
9120	0.021967	-347074.311
9130	0.021743	-347066.687
9140	0.021750	-347077.365
9150	0.021640	-347071.532
9160	0.021873	-347075.665
9170	0.021452	-347083.458
9180	0.021607	-347060.368
9190	0.021795	-347065.762
9200	0.021908	-347067.074
9210	0.021922	-347075.360
9220	0.021741	-347061.180
9230	0.021748	-347058.973
9240	0.021669	-347070.669
9250	0.021566	-347087.169
9260	0.022105	-347072.291
9270	0.021716	-347076.524
9280	0.021695	-347065.759
9290	0.021521	-347070.237
9300	0.021582	-347083.703
9310	0.021568	-347085.055
9320	0.021637	-347076.996
9330	0.021377	-347075.541
9340	0.021439	-347077.310
9350	0.021459	-347079.384
9360	0.021330	-347063.968
9370	0.021182	-347065.030
9380	0.021083	-347084.313
9390	0.021226	-347082.333
9400	0.021325	-347092.307
9410	0.021781	-347061.223
9420	0.021674	-347090.343
9430	0.021419	-347071.621
9440	0.021466	-347069.574
9450	0.021245	-347085.931
9460	0.021846	-347064.693
9470	0.021517	-347057.841
9480	0.021911	-347061.624
9490	0.021695	-347071.578
9500	0.021856	-347068.788
9510	0.021624	-347061.211
9520	0.021704	-347058.107
9530	0.021937	-347056.144
9540	0.021774	-347057.144
9550	0.021790	-347060.187
9560	0.021921	-347060.695
9570	0.022057	-347057.363
9580	0.022126	-347067.806
9590	0.021994	-347073.019
9600	0.021723	-347081.417
9610	0.022238	-347064.609
9620	0.022303	-347056.097
9630	0.022368	-347060.809
9640	0.021789	-347061.408
9650	0.021834	-347070.513
9660	0.021874	-347068.130
9670	0.021778	-347070.631
9680	0.021420	-347061.442
9690	0.021586	-347063.336
9700	0.021725	-347072.485
9710	0.022133	-347068.603
9720	0.022179	-347071.535
9730	0.021873	-347075.848
9740	0.022233	-347059.330
9750	0.022118	-347070.304
9760	0.021770	-347071.390
9770	0.021875	-347056.053
9780	0.021995	-347057.544
9790	0.021998	-347073.989
9800	0.022307	-347069.724
9810	0.022038	-347066.816
9820	0.022063	-347075.582
9830	0.021962	-347064.279
9840	0.021976	-347090.876
9850	0.021651	-347065.643
9860	0.021682	-347057.400
9870	0.021682	-347078.241
9880	0.021830	-347084.375
9890	0.021741	-347068.383
9900	0.021895	-347063.326
9910	0.022046	-347070.281
9920	0.022115	-347069.955
9930	0.022325	-347068.525
9940	0.021877	-347067.376
9950	0.022163	-347067.331
9960	0.022277	-347079.541
9970	0.022360	-347071.202
9980	0.022515	-347067.008
9990	0.022346	-347070.839
10000	0.022391	-347067.371
10010	0.022239	-347079.874
10020	0.022326	-347071.640
