Gen	tau_4MEFEOG	tau_5MEFE	lnL
5100	0.009793	0.008770	-448511.902
5110	0.025504	0.024226	-421613.073
5120	0.022281	0.004758	-441540.821
5130	0.019863	0.015712	-425701.462
5140	0.012137	0.011536	-472941.843
5150	0.033813	0.032140	-419799.093
5160	0.011295	0.008554	-453782.918
5170	0.029011	0.021264	-441936.536
5180	0.024423	0.019929	-420839.313
5190	0.031744	0.019542	-421056.249
5200	0.058048	0.036405	-404096.832
5210	0.075538	0.040260	-411421.558
5220	0.052770	0.020959	-423204.387
5230	0.037331	0.019036	-433129.225
5240	0.030373	0.009244	-472195.908
5250	0.016257	0.008138	-437550.449
5260	0.033931	0.026446	-432552.335
5270	0.052438	0.030038	-412324.570
5280	0.029660	0.012259	-419013.325
5290	0.050058	0.003985	-445682.252
5300	0.052080	0.016939	-406909.996
5310	0.050093	0.026692	-388182.602
5320	0.047468	0.017822	-415895.843
5330	0.029519	0.011497	-451706.582
5340	0.048657	0.036194	-430708.410
5350	0.039247	0.013098	-465906.999
5360	0.043327	0.019864	-439715.392
5370	0.075472	0.060207	-438778.674
5380	0.053719	0.019374	-433101.508
5390	0.061309	0.034060	-442439.794
5400	0.033067	0.022194	-432330.631
5410	0.037242	0.031459	-429857.150
5420	0.037242	0.035298	-444507.106
5430	0.047510	0.045030	-457209.850
5440	0.069269	0.037040	-437637.120
5450	0.042252	0.035609	-438299.105
5460	0.048277	0.028194	-448509.490
5470	0.038476	0.016795	-464445.353
5480	0.042277	0.022531	-478344.656
5490	0.012924	0.011461	-469618.287
5500	0.033691	0.033006	-427411.481
5510	0.011187	0.010959	-479739.656
5520	0.019979	0.019573	-425196.414
5530	0.011469	0.011236	-471303.713
5540	0.019066	0.018679	-484295.647
5550	0.017050	0.013257	-465883.136
5560	0.013004	0.010550	-470949.345
5570	0.024403	0.021737	-457395.313
5580	0.015516	0.012330	-440688.656
5590	0.034493	0.027797	-469433.806
5600	0.035661	0.008668	-451918.460
5610	0.020708	0.012942	-435047.698
5620	0.023679	0.017850	-462259.857
5630	0.072738	0.038352	-432386.073
5640	0.072521	0.053785	-397710.777
5650	0.026333	0.011611	-458764.648
5660	0.058660	0.024101	-443390.447
5670	0.087567	0.033233	-485596.888
5680	0.097002	0.052824	-428943.994
5690	0.048889	0.018725	-456120.450
5700	0.049216	0.026380	-468371.881
5710	0.023228	0.020670	-457651.225
5720	0.052059	0.035270	-429356.334
5730	0.033219	0.030164	-444424.573
5740	0.025211	0.010988	-451486.885
5750	0.031122	0.019147	-438722.863
5760	0.037329	0.012149	-450022.077
5770	0.051723	0.022528	-423119.804
5780	0.024784	0.019771	-440039.303
5790	0.029468	0.018699	-435056.423
5800	0.012787	0.005711	-484626.081
5810	0.095267	0.018767	-440931.173
5820	0.050482	0.036374	-440963.223
5830	0.080450	0.043985	-436415.248
5840	0.042452	0.030075	-473215.470
5850	0.036077	0.017002	-458080.609
5860	0.015851	0.011880	-488211.012
5870	0.028894	0.014315	-453637.182
5880	0.030695	0.023142	-419323.663
5890	0.035743	0.016961	-458793.690
5900	0.037148	0.023839	-446949.433
5910	0.033471	0.026207	-439862.082
5920	0.021762	0.014541	-447486.691
5930	0.032383	0.017580	-468523.914
5940	0.023718	0.021759	-458970.389
5950	0.025499	0.015710	-443651.323
5960	0.019608	0.016937	-448532.492
5970	0.012006	0.008681	-471193.725
5980	0.031325	0.008907	-443957.772
5990	0.033915	0.015718	-450453.828
6000	0.087497	0.034717	-427970.456
6010	0.028955	0.015115	-456014.291
6020	0.024983	0.015122	-453130.977
6030	0.028590	0.015214	-453148.473
6040	0.037227	0.028500	-423752.194
6050	0.091374	0.058025	-426820.045
6060	0.028567	0.024883	-447523.323
6070	0.025475	0.020230	-446938.874
6080	0.039130	0.034209	-438347.206
6090	0.021370	0.012138	-469610.574
6100	0.039785	0.027605	-417603.507
6110	0.021937	0.017300	-421531.967
6120	0.028061	0.026229	-457435.654
6130	0.022175	0.019013	-447200.616
6140	0.028991	0.020769	-422966.483
6150	0.031856	0.029813	-434709.814
6160	0.060069	0.057949	-414836.234
6170	0.023594	0.014130	-436161.163
6180	0.016005	0.012733	-450554.888
6190	0.027957	0.021405	-428579.301
6200	0.043788	0.027664	-448383.540
6210	0.044129	0.019471	-444909.509
6220	0.055354	0.015590	-427553.031
6230	0.073129	0.044358	-394518.942
6240	0.024266	0.015323	-437824.629
6250	0.040217	0.016677	-405318.032
6260	0.038297	0.015725	-414863.545
6270	0.051045	0.018572	-408223.440
6280	0.038622	0.013520	-413015.838
6290	0.031435	0.008632	-436877.557
6300	0.027325	0.011063	-430280.409
6310	0.043183	0.020827	-411505.367
6320	0.019168	0.012018	-440046.921
6330	0.041413	0.037937	-414633.668
6340	0.030687	0.021521	-422132.675
6350	0.029388	0.018625	-430580.059
6360	0.052325	0.049420	-422367.856
6370	0.047470	0.029289	-464727.986
6380	0.058523	0.039679	-454423.374
6390	0.060824	0.040225	-409810.143
6400	0.022129	0.017054	-457214.305
6410	0.024686	0.018688	-462367.022
6420	0.017737	0.013684	-453846.496
6430	0.013596	0.011412	-482902.458
6440	0.066488	0.046397	-424069.218
6450	0.040887	0.038601	-435744.153
6460	0.017712	0.011345	-458446.979
6470	0.021773	0.015142	-421195.878
6480	0.024238	0.018963	-448801.145
6490	0.042374	0.012680	-475003.742
6500	0.048436	0.032133	-453653.857
6510	0.036694	0.028540	-439119.813
6520	0.039340	0.030172	-424099.164
6530	0.042292	0.020929	-421916.782
6540	0.053743	0.016215	-437811.697
6550	0.057440	0.035026	-402951.172
6560	0.052983	0.024323	-419700.858
6570	0.027296	0.007162	-459572.580
6580	0.012911	0.007581	-438684.220
6590	0.034002	0.020994	-415594.684
6600	0.024304	0.012631	-445174.796
6610	0.050469	0.021685	-423431.324
6620	0.070867	0.025555	-399003.958
6630	0.030146	0.016432	-420845.059
6640	0.052849	0.018165	-446337.683
6650	0.056054	0.014509	-433640.040
6660	0.047908	0.022541	-419838.154
6670	0.026997	0.013197	-424887.295
6680	0.042155	0.031587	-407857.174
6690	0.048490	0.030344	-445927.934
6700	0.040607	0.031190	-418194.682
6710	0.096985	0.055305	-408835.810
6720	0.032817	0.009823	-463128.448
6730	0.052992	0.015422	-446719.632
6740	0.086225	0.042431	-429755.551
6750	0.059140	0.033128	-397967.261
6760	0.036670	0.015044	-442553.852
6770	0.065259	0.049381	-436264.769
6780	0.023962	0.013966	-476784.206
6790	0.052749	0.021453	-464154.206
6800	0.067057	0.035527	-450901.564
6810	0.050737	0.023759	-466991.918
6820	0.089707	0.084301	-432026.907
6830	0.031781	0.024253	-458962.847
6840	0.013028	0.008451	-481349.425
6850	0.020921	0.019573	-425869.578
6860	0.043167	0.019542	-452347.736
6870	0.105402	0.047315	-443169.311
6880	0.030104	0.011587	-521089.936
6890	0.167819	0.042857	-459667.998
6900	0.125308	0.032523	-447286.593
6910	0.029507	0.005359	-487697.389
6920	0.015472	0.015089	-459252.811
6930	0.037714	0.033114	-436675.038
6940	0.026770	0.022453	-428190.018
6950	0.018723	0.007211	-468413.643
6960	0.030978	0.020056	-437797.810
6970	0.043841	0.029928	-437844.814
6980	0.026554	0.023119	-437820.322
6990	0.019045	0.017779	-462436.879
7000	0.027730	0.025887	-425534.670
7010	0.017078	0.015943	-435878.066
7020	0.012025	0.011226	-482533.079
7030	0.026272	0.022716	-465297.986
7040	0.022061	0.019075	-456621.576
7050	0.024253	0.020970	-434040.376
7060	0.025858	0.016736	-455685.996
7070	0.065635	0.037426	-426958.981
7080	0.034964	0.027653	-438416.777
7090	0.017579	0.010044	-455055.583
7100	0.025830	0.010524	-455122.383
7110	0.025236	0.019210	-437837.889
7120	0.025236	0.013255	-451663.263
7130	0.049384	0.030959	-415798.273
7140	0.018873	0.014958	-443142.850
7150	0.023400	0.013295	-429162.620
7160	0.028329	0.015286	-420372.538
7170	0.027697	0.007867	-440095.360
7180	0.022159	0.013128	-413720.821
7190	0.028969	0.011200	-443516.420
7200	0.051914	0.024375	-413897.773
7210	0.054288	0.031955	-417665.068
7220	0.030297	0.018940	-463282.902
7230	0.036907	0.030728	-436106.535
7240	0.052494	0.025735	-450960.477
7250	0.064760	0.033372	-426952.519
7260	0.045155	0.032039	-437055.612
7270	0.069718	0.020878	-444125.037
7280	0.043657	0.028424	-421913.140
7290	0.027165	0.008251	-461931.429
7300	0.040529	0.024258	-423541.102
7310	0.025786	0.016702	-457429.076
7320	0.025140	0.021581	-447144.998
7330	0.029072	0.015249	-415170.303
7340	0.028546	0.017610	-435168.200
7350	0.097423	0.046021	-406209.622
7360	0.045967	0.031682	-419082.178
